City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Jamestown,US,76.95,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Novita,CO,78.96,overcast clouds,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
26,Albany,US,79.66,few clouds,42.6001,-73.9662,
27,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
30,Touros,BR,75.24,clear sky,-5.1989,-35.4608,INN NEW HORIZON
38,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
39,San Policarpo,PH,77.34,scattered clouds,12.1791,125.5072,Agapita M. Nicart
47,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
50,Nuzvid,IN,78.12,overcast clouds,16.7833,80.85,HI-TECH LODGE
51,Tarauaca,BR,79.7,broken clouds,-8.1614,-70.7656,Flat Temporada
52,Waddan,LY,81.68,clear sky,29.1614,16.139,محل الشريف محمد العايب
60,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
62,Hithadhoo,MV,81.81,few clouds,-0.6,73.0833,Scoop Guest House
63,Abu Zabad,SD,77.43,scattered clouds,12.35,29.25,حامد محمد نور
65,Gazanjyk,TM,83.62,clear sky,39.2446,55.5154,Railway motel
66,Tateyama,JP,86.09,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
70,Atuona,PF,77.4,few clouds,-9.8,-139.0333,Villa Enata
74,Hamilton,US,83.89,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
76,Tevaitoa,PF,77.34,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
77,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
83,Merauke,ID,76.75,broken clouds,-8.4667,140.3333,
92,Bandarbeyla,SO,77.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
94,Mogadishu,SO,76.08,light rain,2.0371,45.3438,Hotel Juba
100,Agua Dulce,MX,80.38,few clouds,18.1333,-94.1333,Hotel Victoria
108,Hambantota,LK,77.22,broken clouds,6.1241,81.1185,Bungalow 63
109,Kareli,IN,75.2,light rain,22.9167,79.0667,Maa Narmda Hoatal
117,Amapa,BR,78.98,overcast clouds,1.0,-52.0,
120,Butaritari,KI,82.02,light rain,3.0707,172.7902,Isles Sunset Lodge
122,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
124,Dori,BF,86.83,broken clouds,14.0354,-0.0345,Hôtel Liptako
128,Manuk Mangkaw,PH,83.28,overcast clouds,4.8,119.85,
129,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
130,Kalmunai,LK,78.04,overcast clouds,7.4167,81.8167,VS Villa
133,Montrose,US,85.41,broken clouds,38.4166,-108.2673,
144,Meulaboh,ID,75.96,broken clouds,4.1363,96.1285,Kost Pria
145,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
146,Cockburn Town,TC,81.48,clear sky,21.4612,-71.1419,Osprey Beach Hotel
152,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
154,Lorengau,PG,81.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
157,Bud,US,83.93,broken clouds,39.447,-86.1758,Ted McQuinn Trust
158,Sompeta,IN,79.54,light rain,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
160,Clarksville,US,84.29,thunderstorm,36.5298,-87.3595,Midtown Inn
161,Dingle,PH,75.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
166,Barra Patuca,HN,81.84,overcast clouds,15.8,-84.2833,
167,Nishihara,JP,83.48,few clouds,26.1842,127.7558,Minshuku Agaihama
170,Manokwari,ID,77.94,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
174,Katsuura,JP,82.06,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
176,Sola,VU,79.66,broken clouds,-13.8833,167.55,Leumerus Bungalows
178,Isla Aguada,MX,84.24,broken clouds,18.7833,-91.4667,Freedom Shores
182,Bulungu,CD,78.67,scattered clouds,-4.55,18.6,Maison MC Michel
189,Muroto,JP,83.08,overcast clouds,33.2833,134.15,Oota Ryokan
192,Faanui,PF,77.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
195,Jingdezhen,CN,79.12,broken clouds,29.2947,117.2079,Garden Hotel
197,Guerrero Negro,MX,78.15,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
