City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Narsaq,GL,60.9167,-46.05,48.42,88,100,6.11,moderate rain
1,Rikitea,PF,-23.1203,-134.9692,73.31,72,91,21.14,overcast clouds
2,Atasu,KZ,48.6814,71.6433,61.03,81,94,10.0,overcast clouds
3,Busselton,AU,-33.65,115.3333,51.87,83,64,5.21,broken clouds
4,Vaini,TO,-21.2,-175.2,78.96,94,75,16.11,broken clouds
5,Port Elizabeth,ZA,-33.918,25.5701,55.69,92,0,4.61,clear sky
6,Bredasdorp,ZA,-34.5322,20.0403,50.97,95,86,3.98,overcast clouds
7,Thompson,CA,55.7435,-97.8558,73.11,30,41,5.95,scattered clouds
8,Ushuaia,AR,-54.8,-68.3,38.86,87,75,18.41,light rain
9,Tasiilaq,GL,65.6145,-37.6368,41.16,77,100,6.22,overcast clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,67.91,80,100,25.57,overcast clouds
11,Mirnyy,RU,62.5353,113.9611,55.24,81,83,7.0,broken clouds
12,Beringovskiy,RU,63.05,179.3167,59.31,72,9,4.23,clear sky
13,Mar Del Plata,AR,-38.0023,-57.5575,53.94,64,0,5.75,clear sky
14,Dikson,RU,73.5069,80.5464,41.94,90,99,10.83,overcast clouds
15,Tessalit,ML,20.1986,1.0114,91.78,30,70,13.02,broken clouds
16,Yellowknife,CA,62.456,-114.3525,71.28,49,100,10.11,overcast clouds
17,Nikolskoye,RU,59.7035,30.7861,59.88,78,39,3.8,scattered clouds
18,Jamestown,US,42.097,-79.2353,76.95,55,75,11.5,broken clouds
19,Coquimbo,CL,-29.9533,-71.3436,56.93,82,40,10.36,scattered clouds
20,Novita,CO,4.9551,-76.6053,78.96,93,99,3.38,overcast clouds
21,Hobart,AU,-42.8794,147.3294,41.05,88,0,6.91,clear sky
22,Hermanus,ZA,-34.4187,19.2345,54.81,88,79,6.96,broken clouds
23,Chara,RU,56.9064,118.2631,55.44,83,97,1.86,overcast clouds
24,Bonavista,CA,48.6499,-53.1147,56.98,77,96,10.31,overcast clouds
25,Ornskoldsvik,SE,63.2909,18.7153,59.95,94,100,8.05,overcast clouds
26,Albany,US,42.6001,-73.9662,79.66,62,12,6.29,few clouds
27,Vila Velha,BR,-20.3297,-40.2925,78.75,75,0,12.66,clear sky
28,Saint George,US,37.1041,-113.5841,91.44,40,0,23.02,clear sky
29,Cabrero,CL,-37.0333,-72.4,53.55,76,0,2.35,clear sky
30,Touros,BR,-5.1989,-35.4608,75.24,78,5,12.06,clear sky
31,Airai,TL,-8.9266,125.4092,56.95,62,50,2.1,scattered clouds
32,Hunchun,CN,42.8675,130.3581,68.49,85,100,1.39,overcast clouds
33,Toktogul,KG,41.8708,72.9402,67.08,64,41,0.94,scattered clouds
34,Casper,US,42.8666,-106.3131,99.19,12,0,6.91,clear sky
