City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shirokiy,RU,2022-08-08 19:36:29,49.758,129.523,51.19,93,30,6.64
1,Mataura,NZ,2022-08-08 19:36:30,-46.1927,168.8643,34.48,82,8,6.26
2,Kamogawa,JP,2022-08-08 19:36:30,35.1,140.1,82.13,87,100,16.87
3,Busselton,AU,2022-08-08 19:36:31,-33.65,115.3333,47.93,84,96,13.73
4,Kununurra,AU,2022-08-08 19:36:14,-15.7667,128.7333,66.18,88,0,4.61
5,Saldanha,ZA,2022-08-08 19:36:32,-33.0117,17.9442,51.85,82,100,8.16
6,Aketi,CD,2022-08-08 19:36:32,2.7388,23.7833,71.28,90,85,1.43
7,Biak,ID,2022-08-08 19:36:32,-0.9131,122.8766,75.04,85,87,4.61
8,Jamestown,US,2022-08-08 19:33:55,42.097,-79.2353,84.94,65,100,14.97
9,Tuktoyaktuk,CA,2022-08-08 19:36:33,69.4541,-133.0374,59.0,72,75,18.41
10,Indramayu,ID,2022-08-08 19:36:33,-6.3264,108.32,76.59,73,12,7.43
11,Pervomayskoye,RU,2022-08-08 19:36:34,43.919,46.7102,73.38,51,82,3.89
12,Doka,SD,2022-08-08 19:36:34,13.5167,35.7667,71.85,85,100,7.72
13,Thompson,CA,2022-08-08 19:36:34,55.7435,-97.8558,80.76,44,75,11.5
14,Arraial Do Cabo,BR,2022-08-08 19:36:35,-22.9661,-42.0278,75.16,83,100,5.75
15,Hilo,US,2022-08-08 19:36:35,19.7297,-155.09,82.27,96,100,8.05
16,Atuona,PF,2022-08-08 19:36:35,-9.8,-139.0333,77.9,72,28,15.95
17,Yellowknife,CA,2022-08-08 19:36:36,62.456,-114.3525,64.92,52,40,9.22
18,Cape Town,ZA,2022-08-08 19:36:36,-33.9258,18.4232,56.91,84,0,4.61
19,Butaritari,KI,2022-08-08 19:36:37,3.0707,172.7902,80.19,81,84,13.67
20,Lagoa,PT,2022-08-08 19:36:37,39.05,-27.9833,73.67,81,17,15.14
21,Mahebourg,MU,2022-08-08 19:36:37,-20.4081,57.7,70.09,78,40,6.91
22,Cherskiy,RU,2022-08-08 19:36:38,68.75,161.3,53.8,45,92,8.01
23,Huarmey,PE,2022-08-08 19:36:38,-10.0681,-78.1522,67.87,69,6,12.95
24,Albany,US,2022-08-08 19:35:46,42.6001,-73.9662,94.39,60,74,1.01
25,Olyka,UA,2022-08-08 19:36:39,50.7186,25.8125,66.92,74,98,4.12
26,Okhotsk,RU,2022-08-08 19:36:39,59.3833,143.3,57.7,80,96,13.02
